Domain,Subdomain,Status,Type,URL
"thaiest.com","https://autodiscover.thaiest.com (400)","400","live","https://autodiscover.thaiest.com"
"thaiest.com","https://cpanel.thaiest.com (200)","200","live","https://cpanel.thaiest.com"
"thaiest.com","https://webdisk.thaiest.com (401)","401","live","https://webdisk.thaiest.com"
"thaiest.com","https://webmail.thaiest.com (200)","200","live","https://webmail.thaiest.com"
"thaiest.com","https://cpcalendars.thaiest.com (401)","401","live","https://cpcalendars.thaiest.com"
"thaiest.com","https://cpcontacts.thaiest.com (401)","401","live","https://cpcontacts.thaiest.com"
"thaiest.com","https://thaiest.com (200)","200","live","https://thaiest.com"
"thaiest.com","https://www.thaiest.com (200)","200","live","https://www.thaiest.com"
"thaiest.com","https://mail.thaiest.com (200)","200","live","https://mail.thaiest.com"
"thaiest.com","https://cpanel.thaiest.com/robots.txt (200)","","file",""
"thaiest.com","https://webmail.thaiest.com/robots.txt (200)","","file",""
"thaiest.com","https://webmail.thaiest.com/phpinfo.php (200)","","file",""
"thaiest.com","https://cpanel.thaiest.com/phpinfo.php (200)","","file",""
"thaiest.com","https://thaiest.com/sitemap.xml (200)","","file",""
"thaiest.com","https://thaiest.com/robots.txt (200)","","file",""
"thaiest.com","https://thaiest.com/LICENSE.txt (200)","","file",""
"thaiest.com","https://www.thaiest.com/robots.txt (200)","","file",""
"thaiest.com","https://www.thaiest.com/sitemap.xml (200)","","file",""
"thaiest.com","https://mail.thaiest.com/sitemap.xml (200)","","file",""
"thaiest.com","https://www.thaiest.com/LICENSE.txt (200)","","file",""
"thaiest.com","https://mail.thaiest.com/robots.txt (200)","","file",""
"thaiest.com","https://mail.thaiest.com/LICENSE.txt (200)","","file",""
"thaiest.com","https://cpanel.thaiest.com/images/ (200)","","folder",""
"thaiest.com","https://cpcalendars.thaiest.com/qa/ (200)","","folder",""
"thaiest.com","https://cpcalendars.thaiest.com/uat/ (200)","","folder",""
"thaiest.com","https://cpcalendars.thaiest.com/sandbox/ (200)","","folder",""
"thaiest.com","https://cpcalendars.thaiest.com/demo/ (200)","","folder",""
"thaiest.com","https://webmail.thaiest.com/images/ (200)","","folder",""
"thaiest.com","https://thaiest.com/admin/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/administrator/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/dashboard/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/wp-admin/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/portal/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/api/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/admin/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/private/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/public/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/images/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/test/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/v2/ (200)","","folder",""
"thaiest.com","https://thaiest.com/api/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/v3/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/v1/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/cpanel/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/graphql/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/swagger/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/logs/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/tmp/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/internal/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/hidden/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/www/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/dev/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/testing/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/cache/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/swagger-ui/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/uploads/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/secret/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/staging/ (200)","","folder",""
"thaiest.com","https://thaiest.com/dashboard/ (200)","","folder",""
"thaiest.com","https://thaiest.com/administrator/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/uat/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/qa/ (200)","","folder",""
"thaiest.com","https://thaiest.com/wp-admin/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/backup/ (200)","","folder",""
"thaiest.com","https://thaiest.com/cpanel/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/temp/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/demo/ (200)","","folder",""
"thaiest.com","https://thaiest.com/portal/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/static/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/assets/ (200)","","folder",""
"thaiest.com","https://thaiest.com/logs/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/old/ (200)","","folder",""
"thaiest.com","https://cpcontacts.thaiest.com/sandbox/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/admin/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/portal/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/cpanel/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/wp-admin/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/dashboard/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/v1/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/administrator/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/api/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/v2/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/v3/ (200)","","folder",""
"thaiest.com","https://thaiest.com/v1/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/swagger/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/temp/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/tmp/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/cache/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/logs/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/swagger-ui/ (200)","","folder",""
"thaiest.com","https://thaiest.com/v2/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/images/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/graphql/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/assets/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/uploads/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/public/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/www/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/static/ (200)","","folder",""
"thaiest.com","https://thaiest.com/graphql/ (200)","","folder",""
"thaiest.com","https://thaiest.com/uat/ (200)","","folder",""
"thaiest.com","https://thaiest.com/sandbox/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/backup/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/secret/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/sandbox/ (200)","","folder",""
"thaiest.com","https://thaiest.com/v3/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/old/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/demo/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/private/ (200)","","folder",""
"thaiest.com","https://thaiest.com/swagger-ui/ (200)","","folder",""
"thaiest.com","https://thaiest.com/backup/ (200)","","folder",""
"thaiest.com","https://thaiest.com/swagger/ (200)","","folder",""
"thaiest.com","https://thaiest.com/tmp/ (200)","","folder",""
"thaiest.com","https://thaiest.com/old/ (200)","","folder",""
"thaiest.com","https://thaiest.com/temp/ (200)","","folder",""
"thaiest.com","https://thaiest.com/cache/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/uat/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/dev/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/internal/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/staging/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/test/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/qa/ (200)","","folder",""
"thaiest.com","https://www.thaiest.com/testing/ (403)","","folder",""
"thaiest.com","https://www.thaiest.com/hidden/ (200)","","folder",""
"thaiest.com","https://thaiest.com/uploads/ (200)","","folder",""
"thaiest.com","https://thaiest.com/public/ (200)","","folder",""
"thaiest.com","https://thaiest.com/images/ (200)","","folder",""
"thaiest.com","https://thaiest.com/static/ (403)","","folder",""
"thaiest.com","https://thaiest.com/qa/ (403)","","folder",""
"thaiest.com","https://thaiest.com/private/ (403)","","folder",""
"thaiest.com","https://thaiest.com/hidden/ (403)","","folder",""
"thaiest.com","https://thaiest.com/secret/ (403)","","folder",""
"thaiest.com","https://thaiest.com/assets/ (403)","","folder",""
"thaiest.com","https://thaiest.com/internal/ (403)","","folder",""
"thaiest.com","https://thaiest.com/www/ (403)","","folder",""
"thaiest.com","https://thaiest.com/dev/ (403)","","folder",""
"thaiest.com","https://thaiest.com/staging/ (403)","","folder",""
"thaiest.com","https://thaiest.com/test/ (403)","","folder",""
"thaiest.com","https://thaiest.com/testing/ (403)","","folder",""
"thaiest.com","https://thaiest.com/demo/ (403)","","folder",""
